Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Mouse,Propanoate metabolism,2/31,0.5805130849745563,0.8232036540499318,0,0,1.0443509045800463,0.567962863444635,LDHC;EHHADH
KEGG_2019_Mouse,Circadian entrainment,6/99,0.5815843474283112,0.8232036540499318,0,0,0.976794076864715,0.5294216727670178,PRKCG;PER1;RASD1;PRKCB;ADCY3;FOS
KEGG_2019_Mouse,Metabolism of xenobiotics by cytochrome P450,4/66,0.59066283162499,0.8232036540499318,0,0,0.9768316573070394,0.5143115667686233,ALDH1A3;GSTP2;GSTP1;GSTA1
KEGG_2019_Mouse,Melanogenesis,6/100,0.5915151762295138,0.8232036540499318,0,0,0.9663508826422322,0.5073998660099618,PRKCG;PRKCB;KITL;WNT7B;FZD9;ADCY3
KEGG_2019_Mouse,Cholesterol metabolism,3/49,0.5923421126927554,0.8232036540499318,0,0,0.9874947235120304,0.517122268334239,APOA4;ANGPTL4;LRP2
KEGG_2019_Mouse,Notch signaling pathway,3/49,0.5923421126927554,0.8232036540499318,0,0,0.9874947235120304,0.517122268334239,JAG2;NOTCH3;HES1
KEGG_2019_Mouse,Pentose phosphate pathway,2/32,0.597994388557721,0.8268187719344,0,0,1.009485313931555,0.51905100969826,PGM2;PFKP
KEGG_2019_Mouse,Linoleic acid metabolism,3/50,0.606199381505502,0.8339087938476702,0,0,0.9664325552571784,0.4837442732109546,PLA2G2D;CYP2J8;CYP2J9
KEGG_2019_Mouse,Glucagon signaling pathway,6/102,0.6109982665954249,0.8362653042795967,0,0,0.946117193836172,0.4661151911937246,LDHC;G6PC;PKM;SLC2A1;SIK1;PCK1
KEGG_2019_Mouse,SNARE interactions in vesicular transport,2/33,0.6149217190597489,0.8374059591215676,0,0,0.9768691162281272,0.4750126747527573,STX3;STX11
KEGG_2019_Mouse,Viral myocarditis,5/87,0.6326595955704222,0.8572537519979221,0,0,0.9229849389255644,0.4225635169736601,CD80;ITGB2;CD28;CD55;ACTG1
KEGG_2019_Mouse,Glycosaminoglycan biosynthesis,3/53,0.6458563480914592,0.8707814444417186,0,0,0.9083009708737864,0.3970893574394918,CHST11;NDST3;HS3ST1
KEGG_2019_Mouse,Cushing syndrome,9/159,0.6577838404982514,0.8764353769721184,0,0,0.9078536585365854,0.3802807522973481,NR4A1;CDKN1A;CDKN2B;RASD1;CDKN2A;CYP21A1;WNT7B;FZD9;ADCY3
KEGG_2019_Mouse,Bile secretion,4/72,0.6594158776517208,0.8764353769721184,0,0,0.8903548463919981,0.3707445323760271,FXYD2;SLC2A1;ADCY3;AQP4
KEGG_2019_Mouse,Primary immunodeficiency,2/36,0.6624042660151344,0.8764353769721184,0,0,0.89053212230729,0.3667916898947328,IL2RG;IL7R
KEGG_2019_Mouse,Selenocompound metabolism,1/17,0.6629861707722666,0.8764353769721184,0,0,0.946334814216478,0.3889446946355296,TXNRD1
KEGG_2019_Mouse,Systemic lupus erythematosus,8/143,0.6673184148839273,0.8778800506482733,0,0,0.8966392875409934,0.3626797992714519,C1QB;C1QA;C6;C7;H3F3B;FCGR4;CD80;CD28
KEGG_2019_Mouse,Bacterial invasion of epithelial cells,4/74,0.6805132198972668,0.8825332543636425,0,0,0.8648235974551765,0.3328775474865453,ARHGAP10;HCLS1;VCL;ACTG1
KEGG_2019_Mouse,Gastric acid secretion,4/74,0.6805132198972668,0.8825332543636425,0,0,0.8648235974551765,0.3328775474865453,PRKCG;CHRM3;PRKCB;ADCY3
KEGG_2019_Mouse,"Valine, leucine and isoleucine degradation",3/56,0.6825960774023652,0.8825332543636425,0,0,0.8567503205715332,0.3271518140550459,LAO1;EHHADH;BCAT1
KEGG_2019_Mouse,Pantothenate and CoA biosynthesis,1/18,0.6838818576249628,0.8825332543636425,0,0,0.8906205454718237,0.3384091768774728,BCAT1
KEGG_2019_Mouse,Chemical carcinogenesis,5/94,0.6994677946939647,0.8959666456008833,0,0,0.8500719319651084,0.3038459084820183,ALDH1A3;GSTP2;GSTP1;GSTA1;PTGS2
KEGG_2019_Mouse,One carbon pool by folate,1/19,0.7034829345034883,0.8959666456008833,0,0,0.8410967510321307,0.2958235351255672,MTHFD2L
KEGG_2019_Mouse,Adrenergic signaling in cardiomyocytes,8/148,0.7042099465423918,0.8959666456008833,0,0,0.864384356504584,0.3031212237243095,ACTC1;FXYD2;ADCY3;PPP2R2A;TNNI3;SCN5A;SLC8A1;PIK3R5
KEGG_2019_Mouse,Relaxin signaling pathway,7/131,0.7093762831385008,0.8983223024791296,0,0,0.8539681085043989,0.2932263201833202,NFKBIA;ACTA2;JUN;TGFB1;NOS3;ADCY3;FOS
KEGG_2019_Mouse,Porphyrin and chlorophyll metabolism,2/41,0.7309266321123026,0.9173828616487272,0,0,0.7761540534378044,0.2432794268588298,ALAS2;HMOX1
KEGG_2019_Mouse,Estrogen signaling pathway,7/134,0.7311981480299817,0.9173828616487272,0,0,0.8336614173228346,0.2609950398702783,JUN;KRT18;NOS3;PRKCD;ADCY3;FOS;HBEGF
KEGG_2019_Mouse,Allograft rejection,3/63,0.7570776530424641,0.9454748570253816,0,0,0.7565129449838188,0.2105295720044397,FASL;CD80;CD28
KEGG_2019_Mouse,Hedgehog signaling pathway,2/44,0.7660943897973114,0.9514957737451823,0,0,0.7205989914154829,0.1920035238375791,LRP2;CSNK1E
KEGG_2019_Mouse,Necroptosis,9/176,0.7689209389306088,0.9514957737451823,0,0,0.8146925660873375,0.214074423345655,IL1A;FASL;IL1B;TRAF5;STAT4;TNFRSF10B;TNFAIP3;SQSTM1;BIRC3
KEGG_2019_Mouse,alpha-Linolenic acid metabolism,1/25,0.7980604370728943,0.9763059902752446,0,0,0.6306206246634356,0.1422496925876112,PLA2G2D
KEGG_2019_Mouse,RIG-I-like receptor signaling pathway,3/68,0.8011303306034642,0.9763059902752446,0,0,0.6981329350261389,0.1547981573279842,NFKBIA;CXCL10;RNF125
